ma_buucuc,ma_cn,ma_quanhuyen,ten_quanhuyen
MHOG,HYN,1632,THỊ XÃ MỸ HÀO
DHNIDA,HNI,,
MGO,CNTCT,,
CH0698,CTO,,
CH0520,KHA,,
CH0432,QNM,,
BHCU,HTH,4892,THỊ XÃ KỲ ANH
HBQNCP,QNH,2032,THÀNH PHỐ CẨM PHẢ
NIT,QNM,5623,HUYỆN NÚI THÀNH
HBSTLP,STG,9517,HUYỆN LONG PHÚ
QTG,HCM,7270,QUẬN GÒ VẤP
11715,HNI,,
HBHCQ2,HCM,7130,QUẬN 2
HBLDDT,LDG,6733,HUYỆN ĐỨC TRỌNG
VPCVXN,VPC,,
CH0371,DNG,5542,QUẬN THANH KHÊ
CH0604,LAN,8553,HUYỆN TÂN HƯNG
CH0231,HPG,,
HBNTNP,NTN,6633,HUYỆN NINH PHƯỚC
CH0704,DTP,8726,HUYỆN LẤP VÒ
HTHA,THA,4410,THÀNH PHỐ THANH HÓA
HBHDCG,HDG,1747,HUYỆN CẨM GIÀNG
HBGLDD,GLI,6017,HUYỆN ĐĂK ĐOA
HBBTMB,BTE,9320,HUYỆN MỎ CÀY BẮC
HBCBTN,CBG,2746,HUYỆN HÀ QUẢNG
NTN,NTN,6610,THÀNH PHỐ PHAN RANG-THÁP CHÀM
HBHNBV,HNI,1547,HUYỆN BA VÌ
BMI,HNI,1120,QUẬN HAI BÀ TRƯNG
NGT,HNI,1250,QUẬN LONG BIÊN
HBHT02,HCM,7620,QUẬN BÌNH TÂN
CH0061,TNN,2510,THÀNH PHỐ THÁI NGUYÊN
CH0012,BKN,,
CH0242,HPG,,
CH0232,HPG,,
HBQNHA,QNM,5638,THÀNH PHỐ HỘI AN
HBLCVB,LCI,3347,HUYỆN VĂN BÀN
TQGYSN,TQG,3010,THÀNH PHỐ TUYÊN QUANG
HBLACT,LAN,8518,HUYỆN CHÂU THÀNH
CH0105,HCM,,
CHYPG,BNH,2214,HUYỆN YÊN PHONG
HBYBNL,YBN,3256,THỊ XÃ NGHĨA LỘ
LANCTH,LAN,8518,HUYỆN CHÂU THÀNH
DLT,LDG,6710,THÀNH PHỐ ĐÀ LẠT
BTDA,HCM,7620,QUẬN BÌNH TÂN
HGNN,HNI,1585,HUYỆN THƯỜNG TÍN
OSLCU,LCU,,
CH0264,NDH,,
CH0361,THA,,
DGS,THA,4452,HUYỆN ĐÔNG SƠN
BGG,BGG,2310,THÀNH PHỐ BẮC GIANG
HBTBKX,TBH,4155,HUYỆN KIẾN XƯƠNG
CLE,DNG,5574,QUẬN CẨM LỆ
TDMG,BDG,8210,THÀNH PHỐ THỦ DẦU MỘT
LDN,DNG,5510,QUẬN HẢI CHÂU
HBHGVT,HUG,9110,THÀNH PHỐ VỊ THANH
HBHCSK,HCM,7600,QUẬN TÂN PHÚ
CH0149,LCI,,
CH0440,QTI,,
CH0020,CBG,,
CH0681,CMU,9721,HUYỆN U MINH
D00074,NDH,,
SXI,KGG,9216,HUYỆN HÒN ĐẤT
LDGTPU,LDG,6710,THÀNH PHỐ ĐÀ LẠT
HBTNGD,TNH,8431,HUYỆN GÒ DẦU
HBCMTT,CMU,9723,HUYỆN TRẦN VĂN THỜI
CH0099,HCM,,
VLKHTH,LOG,,
HBDLBT,DLK,6310,THÀNH PHỐ BUÔN MA THUỘT
CH0375,DNG,5510,QUẬN HẢI CHÂU
HBHNND,HNI,1180,QUẬN BA ĐÌNH
TAHP,HNI,1536,HUYỆN PHÚC THỌ
HBTNTN,TNN,2510,THÀNH PHỐ THÁI NGUYÊN
11914,HNI,,
QNITPG,QNI,5715,HUYỆN SƠN TỊNH
HBPYDX,PYN,6222,HUYỆN ĐỒNG XUÂN
LTM,HCM,,
HBLATH,LAN,8544,HUYỆN THẠNH HÓA
HBHGVX,HGG,3134,HUYỆN VỊ XUYÊN
BLU,BLU,9610,THÀNH PHỐ BẠC LIÊU
BAN,HCM,7130,QUẬN 2
CH0786,HNI,,
HBHBHB,HBH,3510,THÀNH PHỐ HÒA BÌNH
FFMDNG,FFM,,
CH0754,TVH,,
CH0460,BDH,,
CH0586,DKG,,
OSPHO,PHO,2910,THÀNH PHỐ VIỆT TRÌ
CH0324,NAN,,
TUN,BDG,8223,THỊ XÃ TÂN UYÊN
PGNA,QBH,5115,HUYỆN BỐ TRẠCH
HBSLMS,SLA,3615,HUYỆN MAI SƠN
HBKTNH,KTM,5830,HUYỆN NGỌC HỒI
SHMI,LOG,1270,QUẬN HOÀNG MAI
HBPYSA,PYN,6224,HUYỆN SƠN HÒA
CH0085,HCM,7270,QUẬN GÒ VẤP
CH0785,HNI,,
NTLM,HNI,1260,QUẬN NAM TỪ LIÊM
TMN,HDG,1758,HUYỆN THANH MIỆN
CH0539,NTN,,
CH0411,QNI,5722,HUYỆN TRÀ BỒNG
CH0608,LAN,8518,HUYỆN CHÂU THÀNH
TIS,AGG,8846,HUYỆN THOẠI SƠN
HBHPHB,HPG,1810,QUẬN HỒNG BÀNG
HBNAAS,NAN,4724,HUYỆN ANH SƠN
STH,YBN,3247,HUYỆN VĂN CHẤN
PXN,HNI,1580,HUYỆN PHÚ XUYÊN
CH0811,HNI,,
TLT,HNI,1340,HUYỆN THANH TRÌ
HNIHBT,HNI,1120,QUẬN HAI BÀ TRƯNG
TNNTNT,TNN,2510,THÀNH PHỐ THÁI NGUYÊN
CH0731,KGG,,
LOGLBN,LOG,1250,QUẬN LONG BIÊN
CH0189,VPC,2810,THÀNH PHỐ VĨNH YÊN
KTMDGI,KTM,,
HBHDTH,HDG,1727,HUYỆN THANH HÀ
BHCN,BDG,8239,THÀNH PHỐ THUẬN AN
HBLDDL,LDG,6710,THÀNH PHỐ ĐÀ LẠT
HBSTVC,STG,9535,THỊ XÃ VĨNH CHÂU
12406,HNI,,
QHA,HNI,1220,QUẬN CẦU GIẤY
CH0552,BDG,,
CH0417,QNI,,
CH0692,CTO,,
LCU01,LCU,3910,THÀNH PHỐ LAI CHÂU
HBTBVT,TBH,4149,HUYỆN VŨ THƯ
PHDG,QNH,,
HBBLDH,BLU,9629,HUYỆN ĐÔNG HẢI
TILI,BTE,9337,HUYỆN BÌNH ĐẠI
HHCQ12,HCM,7290,QUẬN 12
CH0110,HCM,7580,HUYỆN NHÀ BÈ
11809,HNI,,
CH0580,BTE,,
CH0284,TBH,,
TYNHG,TNH,8410,THÀNH PHỐ TÂY NINH
CH0249,HYN,1622,HUYỆN KIM ĐỘNG
HBTVTC,TVH,9430,HUYỆN TRÀ CÚ
MGT,BTN,8034,HUYỆN TÁNH LINH
BOT,QBH,5115,HUYỆN BỐ TRẠCH
LDC,STG,9510,THÀNH PHỐ SÓC TRĂNG
CH0109,HCM,7560,QUẬN 7
QTH,HNI,1180,QUẬN BA ĐÌNH
CHDTG,BDG,8236,HUYỆN DẦU TIẾNG
KTHGG,HGG,,
CH0657,AGG,,
CH0274,QNH,,
D00238,HUG,,
HBTGTD,TGG,8648,HUYỆN TÂN PHÚ ĐÔNG
DGHA,DNI,8164,HUYỆN TRẢNG BOM
GVO,HNI,1180,QUẬN BA ĐÌNH
PKHDT,CNTCT,,
CH0226,HNM,,
SHAG,LOG,1510,QUẬN HÀ ĐÔNG
YBNMCC,YBN,3261,HUYỆN MÙ CĂNG CHẢI
QU5,HCM,7480,QUẬN 5
CH0213,BNH,2221,THỊ XÃ TỪ SƠN
CH0365,THA,4467,HUYỆN VĨNH LỘC
KMSN,VPC,2818,HUYỆN LẬP THẠCH
HBKGAM,KGG,9227,HUYỆN AN MINH
HBBGSD,BGG,2325,HUYỆN SƠN ĐỘNG
NIS,THA,4565,THỊ XÃ NGHI SƠN
CHXLA,HNI,1510,QUẬN HÀ ĐÔNG
OSDLK,DLK,,
CH0272,QNH,2086,THỊ XÃ ĐÔNG TRIỀU
CH0199,YBN,,
MYN,VTU,7956,THỊ XÃ PHÚ MỸ
HBHGCT,HUG,9127,HUYỆN CHÂU THÀNH
HBPTTS,PHO,2994,HUYỆN TÂN SƠN
CH0113,HCM,7360,QUẬN TÂN BÌNH
CCI,HCM,7330,HUYỆN CỦ CHI
CH0727,KGG,9216,HUYỆN HÒN ĐẤT
CH0709,DTP,8721,HUYỆN HỒNG NGỰ
KDC,DKG,6413,HUYỆN ĐẮK RLẤP
HGPG,HPG,1848,HUYỆN AN DƯƠNG
KTPQC,KGG,9222,HUYỆN PHÚ QUỐC
HN01,HNI,1280,QUẬN BẮC TỪ LIÊM
HBQNYH,QNH,2075,THỊ XÃ QUẢNG YÊN
HUBBGG,BGG,2310,THÀNH PHỐ BẮC GIANG
CH0070,TQG,,
QGTG,HNI,1150,QUẬN ĐỐNG ĐA
DBG,BNH,2221,THỊ XÃ TỪ SƠN
TNL,TBH,4110,THÀNH PHỐ THÁI BÌNH
AHG,HNI,,
CH0694,CTO,,
HBTLM1,HNI,1280,QUẬN BẮC TỪ LIÊM
HBBDTP,BDH,5917,HUYỆN TUY PHƯỚC
HBTBDH,TBH,4121,HUYỆN ĐÔNG HƯNG
CH0446,QTI,,
QN1,HCM,7100,QUẬN 1
LGT,HCM,7150,QUẬN 9
HDGVC,HDG,,
LTU,BDG,8239,THÀNH PHỐ THUẬN AN
LOGHPG,LOG,1875,QUẬN HẢI AN
HBNTTN,NTN,6630,HUYỆN THUẬN NAM
HBHGVY,HUG,9122,HUYỆN VỊ THỦY
HBBKCD,BKN,2632,HUYỆN CHỢ ĐỒN
HBDLES,DLK,6363,HUYỆN EA SÚP
HBHCDT,HCM,7290,QUẬN 12
ALC,HCM,7620,QUẬN BÌNH TÂN
FFMQN,FFM,,
CH0331,NBH,,
K1HNI,LOG,1280,QUẬN BẮC TỪ LIÊM
HUE,HUE,5310,THÀNH PHỐ HUẾ
CH0504,GLI,6010,THÀNH PHỐ PLEIKU
HBTNPY,TNN,2568,THỊ XÃ PHỔ YÊN
PAKH,HNI,1120,QUẬN HAI BÀ TRƯNG
HBNBGV,NBH,4322,HUYỆN GIA VIỄN
TYHA,HCM,7150,QUẬN 9
CH0724,KGG,,
CH0654,AGG,,
CH0650,VTU,,
HBNDGT,NDH,4278,HUYỆN GIAO THỦY
MKG,LCI,3316,HUYỆN SI MA CAI
NGA,LDG,6733,HUYỆN ĐỨC TRỌNG
D00128,BDG,8239,THÀNH PHỐ THUẬN AN
CH0083,HCM,7270,QUẬN GÒ VẤP
HBHCCG,HCM,7590,HUYỆN CẦN GIỜ
KMA,HNI,1180,QUẬN BA ĐÌNH
CH0553,BDG,,
CH0592,DNI,8158,HUYỆN NHƠN TRẠCH
HBLACD,LAN,8527,HUYỆN CẦN ĐƯỚC
MYNG,VTU,7956,THỊ XÃ PHÚ MỸ
DSKV1,LOG,1280,QUẬN BẮC TỪ LIÊM
12015,HNI,,
CH0796,HNI,1561,HUYỆN CHƯƠNG MỸ
HBHNTD,HNI,1340,HUYỆN THANH TRÌ
THAKIEU,THA,,
CH0510,GLI,6038,HUYỆN ĐỨC CƠ
CTO,CTO,9010,QUẬN NINH KIỀU
KVMN07,FFM,7200,QUẬN THỦ ĐỨC
HBKTKR,KTM,5818,HUYỆN KON RẪY
NSN,HCM,7600,QUẬN TÂN PHÚ
CH0363,THA,,
QAN,HNI,1240,QUẬN TÂY HỒ
DVCHN,LOG,1280,QUẬN BẮC TỪ LIÊM
HBLSVL,LSN,2425,HUYỆN VĂN LÃNG
CH0531,LDG,,
SHCU,LOG,1150,QUẬN ĐỐNG ĐA
CH0314,NAN,,
HBHTHK,HTH,4869,HUYỆN HƯƠNG KHÊ
LTTN,HCM,7600,QUẬN TÂN PHÚ
CHDGKN,DKG,6421,HUYỆN KRÔNG NÔ
CHHGG,HNI,1585,HUYỆN THƯỜNG TÍN
CH0560,BDG,,
AHU,TGG,8647,HUYỆN CÁI BÈ
HBHPKT,HPG,1867,HUYỆN KIẾN THỤY
HBQNTK,QNM,5610,THÀNH PHỐ TAM KỲ
CAN,YBN,3219,HUYỆN YÊN BÌNH
CH0006,BGG,,
CH0699,DTP,,
OSNTN,NTN,6610,THÀNH PHỐ PHAN RANG-THÁP CHÀM
QNH002,QNH,2010,THÀNH PHỐ HẠ LONG
CH0068,TQG,,
STNN,TNN,2510,THÀNH PHỐ THÁI NGUYÊN
HBCBBL,CBG,2762,HUYỆN BẢO LẠC
HBDNDQ,DNI,8142,HUYỆN ĐỊNH QUÁN
DRA,DKG,6418,HUYỆN ĐẮK MIL
CH0757,TVH,9423,HUYỆN TIỂU CẦN
CH0770,VLG,,
DNT,HYN,1625,HUYỆN KHOÁI CHÂU
DTI,HNI,1240,QUẬN TÂY HỒ
AND,HNI,1240,QUẬN TÂY HỒ
CH0649,VTU,7948,HUYỆN XUYÊN MỘC
HBPTTH,PHO,2982,HUYỆN THANH SƠN
DGO,HDG,1747,HUYỆN CẨM GIÀNG
TNS,HCM,7270,QUẬN GÒ VẤP
YSO,HNI,1270,QUẬN HOÀNG MAI
CH0667,AGG,,
CH0159,LCU,,
HBNDHP,NDH,4282,Hải Hậu
K2HNI,FFM,,
TNHH,DNI,8110,THÀNH PHỐ BIÊN HÒA
CH0275,QNH,,
OSTBH,TBH,,
PLI,STG,9510,THÀNH PHỐ SÓC TRĂNG
THHA,TNH,8431,HUYỆN GÒ DẦU
HUBBHG,HCM,7380,HUYỆN BÌNH CHÁNH
LOGCMB,LOG,1280,QUẬN BẮC TỪ LIÊM
CHGPG,HNI,1270,QUẬN HOÀNG MAI
KTKGG,KGG,9210,THÀNH PHỐ RẠCH GIÁ
CH0030,CBG,,
CHDLU,HNI,1270,QUẬN HOÀNG MAI
VHHA,KHA,6510,THÀNH PHỐ NHA TRANG
CH0680,CMU,,
HBVLMT,VLG,8934,HUYỆN MANG THÍT
MCU,SLA,3628,HUYỆN MỘC CHÂU
CH0572,BTE,9313,HUYỆN CHÂU THÀNH
CH0160,LCU,,
HBBDTS,BDH,5942,HUYÊN TÂY SƠN
HBBTCL,BTE,9317,HUYỆN CHỢ LÁCH
VVV,HCM,7380,Bình Chánh
HUBTUS,BNH,2221,THỊ XÃ TỪ SƠN
HBLCSP,LCI,3331,THỊ XÃ SA PA
CHTKC,HNI,1200,QUẬN THANH XUÂN
SKY,HCM,7600,QUẬN TÂN PHÚ
BLC,LDG,6747,THÀNH PHỐ BẢO LỘC
CH0132,DBN,,
CNC,CMU,9727,HUYỆN CÁI NƯỚC
PGN,CTO,9044,HUYỆN PHONG ĐIỀN
QOI,HNI,1557,HUYỆN QUỐC OAI
CH0670,BLU,9610,THÀNH PHỐ BẠC LIÊU
CHTLHD,HNI,1529,HUYỆN HOÀI ĐỨC
TTHNI,LOG,1260,QUẬN NAM TỪ LIÊM
CHPNA,NDH,4210,THÀNH PHỐ NAM ĐỊNH
TNE,HCM,7170,QUẬN BÌNH THẠNH
CH0475,BTN,,
CH0469,BTN,8040,HUYỆN HÀM TÂN
CHLBT,DNI,8110,THÀNH PHỐ BIÊN HÒA
NNTI,HGG,,
OSDKG,DKG,,
DKH,KHA,6537,HUYỆN DIÊN KHÁNH
BKN01,BKN,2610,THÀNH PHỐ BẮC KẠN
LDM,HNI,1270,QUẬN HOÀNG MAI
CH0763,VLG,8910,THÀNH PHỐ VĨNH LONG
CH0737,KGG,,
CH0292,HTH,,
LANTHA,LAN,8544,HUYỆN THẠNH HÓA
LHI,VTU,7944,HUYỆN LONG ĐIỀN
VTUG,VTU,7910,THÀNH PHỐ VŨNG TÀU
OSCTO,CTO,,
HBDLMD,DLK,6339,HUYỆN M'ĐRẮK
THLG,HNI,1120,QUẬN HAI BÀ TRƯNG
OSBNH,BNH,,
CH0511,GLI,6024,THỊ XÃ AN KHÊ
CUC,VTU,7953,HUYỆN CHÂU ĐỨC
ANK,CTO,9010,QUẬN NINH KIỀU
HBHTNX,HTH,4844,HUYỆN NGHI XUÂN
HUBLTG,HCM,7200,QUẬN THỦ ĐỨC
CH0760,TVH,,
CH0614,LAN,,
HPH,BGG,2366,HUYỆN HIỆP HÒA
CH0689,CTO,9028,QUẬN BÌNH THỦY
TNCU,AGG,8834,THỊ XÃ TÂN CHÂU
HBNADC,NAN,4638,HUYỆN DIỄN CHÂU
TTG,VPC,2823,HUYỆN VĨNH TƯỜNG
CH0306,NAN,,
PCLG,HCM,7621,THÀNH PHỐ THỦ ĐỨC
CH0516,KHA,6552,HUYỆN CAM LÂM
CGY,HNI,1220,QUẬN CẦU GIẤY
QNH006,QNH,,
CH0407,QNI,5715,HUYỆN SƠN TỊNH
CDC,AGG,8830,THÀNH PHỐ CHÂU ĐỐC
CH0222,HDG,,
TPC,DNI,8110,THÀNH PHỐ BIÊN HÒA
HBNAHM,NAN,4758,THỊ XÃ HOÀNG MAI
D00417,CMU,,
HIT,HDG,1710,THÀNH PHỐ HẢI DƯƠNG
98807,CMU,,
D00004,KHA,,
PKSNB,CNTCT,,
HAHP,VTU,,
P00017,DTP,,
CH0600,DNI,8132,THÀNH PHỐ LONG KHÁNH
HBHYAT,HYN,1618,HUYỆN ÂN THI
MKI,HNI,1120,QUẬN HAI BÀ TRƯNG
PHU,HCM,7150,QUẬN 9
KDNI,LOG,8110,THÀNH PHỐ BIÊN HÒA
HBLDDI,LDG,6737,HUYỆN DI LINH
CH0278,QNH,,
CH0470,BTN,,
CH0326,NBH,4345,HUYỆN YÊN KHÁNH
NVLH,HCM,7560,QUẬN 7
HBGLPT,GLI,6069,HUYỆN PHÚ THIỆN
HBBGYT,BGG,2347,HUYỆN YÊN THẾ
HBHUPD,HUE,5349,HUYỆN PHONG ĐIỀN
CH0813,HNI,,
GVP,HCM,7270,QUẬN GÒ VẤP
KTH,HDG,1731,HUYỆN KIM THÀNH
OSPYN,PYN,,
CH0135,HBH,3510,THÀNH PHỐ HÒA BÌNH
HVN,DNG,5557,QUẬN LIÊN CHIỂU
CH0157,LCU,,
THA,THA,4410,THÀNH PHỐ THANH HÓA
BADG,HCM,,
HBBTLG,BTN,8046,THỊ XÃ LA GI
BHA,DNI,8110,THÀNH PHỐ BIÊN HÒA
YNDH,NDH,4282,HUYỆN HẢI HẬU
CH0783,HNI,1280,QUẬN BẮC TỪ LIÊM
VQG,KGG,9210,THÀNH PHỐ RẠCH GIÁ
HBHNNL,HNI,1260,QUẬN NAM TỪ LIÊM
CMU01,CMU,9710,THÀNH PHỐ CÀ MAU
CH0366,THA,,
CH0320,NAN,,
CH0023,CBG,,
GLIKCO,GLI,,
HBTHTS,THA,4487,HUYỆN TRIỆU SƠN
HBSTNN,STG,9540,THỊ XÃ NGÃ NĂM
TTC,BNH,2214,HUYỆN YÊN PHONG
TCH,HNI,1200,QUẬN THANH XUÂN
HBPTTB,PHO,2956,HUYỆN THANH BA
TTNT,HCM,7290,QUẬN 12
CHLDG,HNI,1270,QUẬN HOÀNG MAI
CH0515,KHA,,
CH0606,LAN,8546,HUYỆN TÂN THẠNH
CH0044,LSN,2461,HUYỆN HỮU LŨNG
CH0502,GLI,6017,HUYỆN ĐĂK ĐOA
CH0043,LSN,,
D00036,HDG,,
HBDNVC,DNI,8150,HUYỆN VĨNH CỬU
TTH,VTU,7956,THỊ XÃ PHÚ MỸ
HDU,TBH,4110,THÀNH PHỐ THÁI BÌNH
LMX,HCM,7380,HUYỆN BÌNH CHÁNH
LDH,HNI,1120,QUẬN HAI BÀ TRƯNG
TYK,HNI,1240,QUẬN TÂY HỒ
TTQU2,HCM,7130,QUẬN 2
DTM,HNI,1120,QUẬN HAI BÀ TRƯNG
HDDA03,HNI,1150,QUẬN ĐỐNG ĐA
HBDLEP,DLK,,
CH0301,HTH,,
CH0428,QNM,,
75912,BDG,,
43634,NAN,,
CH0198,YBN,,
HBCBTL,CBG,2727,HUYỆN TRÙNG KHÁNH
HBHCTQ,HCM,7330,HUYỆN CỦ CHI
DLTG,LDG,6710,THÀNH PHỐ ĐÀ LẠT
MLH,HNI,1420,HUYỆN MÊ LINH
CH0546,PYN,6216,HUYỆN TUY AN
CH0219,HDG,1758,HUYỆN THANH MIỆN
CH0708,DTP,8738,HUYỆN CHÂU THÀNH
CH0767,VLG,8910,THÀNH PHỐ VĨNH LONG
CH0036,HGG,,
HBHNTX,HNI,1200,QUẬN THANH XUÂN
VNBI,LOG,1390,HUYỆN SÓC SƠN
NSHU,HUG,9127,HUYỆN CHÂU THÀNH
KTHPG,LOG,1851,QUẬN KIẾN AN
HBDNLB,DNI,8110,THÀNH PHỐ BIÊN HÒA
HBVTXM,VTU,7948,HUYỆN XUYÊN MỘC
D00423,HCM,,
CH0814,HNI,,
CALI,HCM,,
11606,HNI,,
DVH,HNI,1220,QUẬN CẦU GIẤY
MTI,HNI,1260,QUẬN NAM TỪ LIÊM
OSHBH,HBH,3510,THÀNH PHỐ HÒA BÌNH
BHAG1,DNI,8110,THÀNH PHỐ BIÊN HÒA
HLI,CTO,9010,QUẬN NINH KIỀU
HBLCMK,LCI,3319,HUYỆN MƯỜNG KHƯƠNG
LMN,THA,4410,THÀNH PHỐ THANH HÓA
LDGLS,LDG,6747,THÀNH PHỐ BẢO LỘC
TVG,HCM,7560,QUẬN 7
HBNBYM,NBH,4336,HUYỆN YÊN MÔ
HNI035,HNI,1200,QUẬN THANH XUÂN
VHH,HNI,1270,QUẬN HOÀNG MAI
SHBT,LOG,1120,QUẬN HAI BÀ TRƯNG
CH0136,HBH,,
CH0596,DNI,,
CH0499,GLI,,
D00126,BTE,,
BCG,LCI,3334,THÀNH PHỐ LÀO CAI
HBBPDP,BPC,8315,HUYỆN ĐỒNG PHÚ
HBLATT,LAN,8534,HUYỆN THỦ THỪA
QNI,QNI,5710,THÀNH PHỐ QUẢNG NGÃI
PXA,HNI,,
TPU,HCM,7600,QUẬN TÂN PHÚ
NNV,HNI,1220,QUẬN CẦU GIẤY
HPG001,HPG,1851,QUẬN KIẾN AN
KTDKG,DKG,6410,THÀNH PHỐ GIA NGHĨA
CH0176,PHO,,
CH0768,VLG,8925,HUYỆN TRÀ ÔN
CH0645,VTU,,
HBHDGL,HDG,1754,HUYỆN GIA LỘC
HBDLKN,DLK,6352,HUYỆN KRÔNG NĂNG
DTP01,DTP,8710,THÀNH PHỐ CAO LÃNH
HBLDDA,LDG,6752,HUYỆN ĐẠ TẺH
HBBNGB,BNH,2232,HUYỆN GIA BÌNH
QTTM,TNN,2510,THÀNH PHỐ THÁI NGUYÊN
HBNTPR,NTN,6610,THÀNH PHỐ PHAN RANG-THÁP CHÀM
OSHNI,HNI,,
CH0392,KTM,5835,HUYỆN SA THẦY
HBHNQO,HNI,1557,HUYỆN QUỐC OAI
DKD,GLI,6017,HUYỆN ĐĂK ĐOA
TTBDG,BDG,8239,THÀNH PHỐ THUẬN AN
CH0194,VPC,,
CH0056,LSN,,
XKH,CTO,9010,QUẬN NINH KIỀU
HBCBHQ,CBG,2746,HUYỆN HÀ QUẢNG
CHVTTG,VTU,7910,THÀNH PHỐ VŨNG TÀU
CTOAHA,CTO,9010,QUẬN NINH KIỀU
HBPYSC,PYN,6219,THỊ XÃ SÔNG CẦU
HBCTTN,CTO,9042,QUẬN THỐT NỐT
CH0795,HNI,,
KNQ,LOG,,
CH0534,LDG,,
HCU,DNG,5542,QUẬN THANH KHÊ
CH0756,TVH,9435,HUYỆN CẦU NGANG
CMU,CMU,9710,THÀNH PHỐ CÀ MAU
HBBDDA,BDG,8246,THÀNH PHỐ DĨ AN
HBHCQ3,HCM,7220,QUẬN 3
PLG,BPC,8339,THỊ XÃ PHƯỚC LONG
HBNAND,NAN,4749,HUYỆN NAM ĐÀN
CH0788,HNI,,
CH0568,BPC,8315,HUYỆN ĐỒNG PHÚ
CH0478,DLK,,
CH0010,BGG,2347,HUYỆN YÊN THẾ
HBTGCG,TGG,8620,HUYỆN CHỢ GẠO
HBHGBH,HGG,3152,HUYỆN QUANG BÌNH
HBHGNB,HUG,9129,THÀNH PHỐ NGÃ BẢY
GLIIGI,GLI,6034,HUYỆN IA GRAI
TS1,HCM,7360,QUẬN TÂN BÌNH
HNI024,HNI,1200,QUẬN THANH XUÂN
DNN,HNI,1120,QUẬN HAI BÀ TRƯNG
CH0358,THA,4555,HUYỆN QUẢNG XƯƠNG
CH0595,DNI,8142,HUYỆN ĐỊNH QUÁN
BSN,THA,4449,THỊ XÃ BỈM SƠN
HBHNHD,HNI,1510,QUẬN HÀ ĐÔNG
CH0369,THA,,
HBTGTP,TGG,8639,HUYỆN TÂN PHƯỚC
LYNN,HNM,4015,HUYỆN LÝ NHÂN
LGTH,LAN,8531,HUYỆN CẦN GIUỘC
HBLCSH,LCU,3923,HUYỆN SÌN HỒ
HBAGCD,AGG,8830,THÀNH PHỐ CHÂU ĐỐC
CHTBH,HNI,1220,QUẬN CẦU GIẤY
LDT,HNI,1260,QUẬN NAM TỪ LIÊM
CH0304,NAN,,
OSVTU,VTU,,
CH0028,CBG,,
HBTNCT,TNH,8424,HUYỆN CHÂU THÀNH
HBQNTH,QNM,5616,HUYỆN THĂNG BÌNH
HBTGCB,TGG,8647,HUYỆN CÁI BÈ
HBSTTT,STG,9527,HUYỆN THẠNH TRỊ
11808,HNI,,
BHHA,HCM,7170,QUẬN BÌNH THẠNH
HBPYTY,PYN,6232,HUYỆN TÂY HÒA
TABC,QNM,5623,HUYỆN NÚI THÀNH
D00141,LAN,,
HBTNDC,TNH,8417,HUYỆN DƯƠNG MINH CHÂU
HBCTOM,CTO,9040,QUẬN Ô MÔN
HBTGCT,TGG,8634,HUYỆN CHÂU THÀNH
HBPTVT,PHO,2910,THÀNH PHỐ VIỆT TRÌ
VTIG2,PHO,2910,THÀNH PHỐ VIỆT TRÌ
DAH,HNI,1360,HUYỆN ĐÔNG ANH
HBGG,HPG,1810,QUẬN HỒNG BÀNG
HBCBHL,CBG,2722,HUYỆN HẠ LANG
HUBMCI,QNH,2068,THÀNH PHỐ MÓNG CÁI
VTY,HNI,1120,QUẬN HAI BÀ TRƯNG
TTKT2,LOG,5557,QUẬN LIÊN CHIỂU
VYNG,VPC,2810,THÀNH PHỐ VĨNH YÊN
NCTH,HNI,1260,QUẬN NAM TỪ LIÊM
HBTLM2,HNI,1280,QUẬN BẮC TỪ LIÊM
MDH,HNI,1260,QUẬN NAM TỪ LIÊM
CH0483,DLK,,
PHUTH,HYN,1622,HUYỆN KIM ĐỘNG
HBDLEH,DLK,6356,HUYỆN EA H'LEO
HBQNHH,QNH,2065,HUYỆN HẢI HÀ
TBH001,TBH,,
CH0287,TBH,4142,HUYỆN HƯNG HÀ
HBHMTL,HNM,4033,HUYỆN THANH LIÊM
DTNBN1,LOG,1280,QUẬN BẮC TỪ LIÊM
NOH,HCM,7270,QUẬN GÒ VẤP
HBPYPH,PYN,6234,HUYỆN PHÚ HÒA
HBQNTG,QNM,5658,HUYỆN TÂY GIANG
HN09,HNI,1180,QUẬN BA ĐÌNH
HGK,HPG,1836,QUẬN LÊ CHÂN
HBCMCN,CMU,9727,HUYỆN CÁI NƯỚC
CH0632,TGG,8634,HUYỆN CHÂU THÀNH
TCY,HNI,1120,QUẬN HAI BÀ TRƯNG
TMB,HCM,7200,QUẬN THỦ ĐỨC
CH0252,HYN,,
CH0212,BNH,,
CH0207,BNH,,
HVU,BGG,2310,THÀNH PHỐ BẮC GIANG
CH0513,KHA,,
PRG,BPC,8342,HUYỆN PHÚ RIỀNG
CH0618,LAN,8523,HUYỆN BẾN LỨC
CHAGML,AGG,8816,HUYỆN CHỢ MỚI
HBQBBT,QBH,5115,HUYỆN BỐ TRẠCH
CH0621,TGG,,
QU10,HCM,7400,QUẬN 10
LDTO,HCM,7270,QUẬN GÒ VẤP
HBI,HNI,1360,HUYỆN ĐÔNG ANH
CH0376,DNG,,
CH0004,BGG,,
CH0561,BDG,,
XMI,HNI,1561,HUYỆN CHƯƠNG MỸ
CH0550,PYN,,
CH0340,QBH,,
